nif1#BERNARDO GOMEZ#134#19990702#M#1#10#20
nif355#BRUNO GARCIA#176#19960916#M#355#2#2
nif356#BAUTISTA FLORES#131#19920313#M#356#8#5
nif357#BRUNO SOSA#149#19761221#M#357#5#20
nif358#BENJAMÍN RUIZ#132#19880407#M#358#2#18
nif359#MARCOS SANCHEZ#150#19790603#M#359#11#8
nif360#MARTÍN RUIZ#154#19820507#M#360#2#3
nif361#BENJAMÍN ROMERO#179#19830727#M#361#2#7
nif362#BAUTISTA MEDINA#167#19730822#M#362#5#15
nif363#LUCAS FLORES#143#20000910#M#363#1#8
nif364#BAUTISTA FLORES#157#19921117#M#364#10#5
nif365#OMAR GARCIA#159#19731223#M#365#11#17
nif366#BERNARDO DIAZ#136#19780107#M#366#2#6
nif367#LUIS BENITEZ#154#19820509#M#367#5#20
nif368#LEONARDO FLORES#152#19901017#M#368#5#16
nif369#BENJAMÍN DIAZ#158#19840305#M#369#7#2
nif370#MARCOS GARCIA#132#19980805#M#370#5#8
nif371#OCTAVIO DIAZ#132#19911203#M#371#11#13
nif372#MANUEL MARTINEZ#164#19980103#M#372#9#1
nif373#BRUNO TORRES#152#19860419#M#373#9#20
nif374#MANUEL GOMEZ#140#19701109#M#374#5#8
nif375#MARTÍN ALVAREZ#177#19820411#M#375#8#15
nif376#OCTAVIO RUIZ#131#19861218#M#376#8#12
nif377#LEANDRO GARCIA#152#19740610#M#377#3#11
nif378#LEONARDO PEREZ#152#19770216#M#378#9#18
nif379#OSIRIS FLORES#140#19841122#M#379#3#5
nif380#LUCAS SOSA#158#19910101#M#380#9#14
nif381#ORLANDO GOMEZ#132#19770623#M#381#10#5
nif382#LUCAS SOSA#149#19850916#M#382#8#13
nif383#BORIS LOPEZ#178#19770425#M#383#2#3
nif384#MARTÍN ROMERO#145#19960531#M#384#8#16
nif385#BERNARDO GARCIA#166#19710806#M#385#1#11
nif386#LEOPOLDO GOMEZ#165#19760311#M#386#3#4
nif387#LEANDRO SANCHEZ#180#19790525#M#387#5#2
nif388#BORIS ALVAREZ#138#19790706#M#388#8#19
nif389#MARCOS PEREZ#151#19751113#M#389#4#10
nif390#OMAR PEREZ#146#19851019#M#390#2#17
nif391#OMAR RUIZ#178#19810817#M#391#3#20
nif392#LEOPOLDO ROMERO#158#19700102#M#392#10#1
nif393#MARCELO RAMIREZ#141#19820626#M#393#3#15
nif394#MARCOS RODRIGUEZ#174#19810630#M#394#7#5
nif395#OSCAR ACOSTA#144#19811217#M#395#8#4
nif396#LUIS GOMEZ#133#19970318#M#396#9#2
nif397#LEANDRO RUIZ#176#20000208#M#397#2#7
nif398#LEONARDO MEDINA#160#19800228#M#398#1#9
nif399#OMAR TORRES#164#19780715#M#399#8#5
nif400#LUIS GOMEZ#163#19990917#M#400#1#10
